,Plate,8000172362,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Volume
1,A,3342965#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
2,B,2515199#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
3,C,1641684#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
4,D,2508901#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
5,E,2205040#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
6,F,1133124#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
7,G,2414154#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
8,H,3086916#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
9,I,41397#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
10,J,2315920#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
11,K,1549115#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
12,L,609603#3, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
13,M,2662127#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
14,N,596703#2, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
15,O,2436607#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
16,P,2489990#1, , , , , , , , , , , , , , , , , , , , , , , , ,0.5 킠
17,Concentrations, ,10 mM,5 mM,2.5 mM,1.25 mM,0.625 mM,0.3125 mM,0.15625 mM,0.078125 mM,0.0390625 mM,0.0195313 mM,0.00976563 mM,0.00488281 mM,0.00244141 mM,0.0012207 mM,0.000610352 mM,0.000305176 mM,0.000152588 mM,0.0000762939 mM,0.000038147 mM,0.0000190735 mM,0.00000953674 mM,0.00000476837 mM, , , 
