Compound.ID,Normalized1.SSf,Normalized2.SSF,Normalized3.SSF,Max.SSF,RT.AVE.SSF,SD.SSF,SE.SSF,Mean.Activity.n.3..UHTS,SE.UHTS,Max.Activity.UHTS
830027,1024.6,1002.4,917.3,1024.6,981.45,46.27,26.71259551,744.81,1.45,1206.95
1901599,223.5,206.3,187.6,223.5,205.8,14.64,8.455288623,89.31,3.02,88.36
2029301,366.3,248.9,254.3,366.3,289.83,54.13,31.24963513,90.46,0.97,210.43
2098066,-0.9,-3.7,-5,-0.9,-3.2,1.73,0.997100904,46.34,3.5,138.26
2124964,253.3,189.5,179,253.3,207.26,32.85,18.96725672,58.37,2.84,119.48
2214649,334.4,313.5,324.3,334.4,324.09,8.55,4.936622132,92.18,1.8,114.86
2306797,444.9,344.9,314.7,444.9,368.18,55.66,32.13510156,85.55,4.11,216.47
2339844,20.1,16.6,19.3,20.1,18.63,1.5,0.866309648,72.03,0.66,128.5
2372368,3.6,12.6,2.6,12.6,6.28,4.51,2.602747497,178.82,0.37,301.22
2373199,27.9,22.8,20.1,27.9,23.62,3.23,1.867549845,55.95,1.67,88.26
2393155,182.9,134.5,146.3,182.9,154.55,20.62,11.90541737,71.01,4.23,143.19
2396300,416.4,352.2,375.7,416.4,381.43,26.52,15.30910217,157.93,9.31,196.71
2398441,764,602.2,640.3,764,668.81,69.06,39.87398434,299.69,11.53,587.59
2414258,66,60.7,55.8,66,60.81,4.15,2.396192217,62.6,3.62,79.33
2430558,225.5,248.6,238.1,248.6,237.42,9.45,5.45342151,227.08,9.82,315.56
2537789,3.7,8.5,0.1,8.5,4.09,3.43,1.980342446,41.05,4.34,88.07
2581220,156.4,143.6,147.1,156.4,149.01,5.41,3.125822665,91.16,4.14,130.56
